project-key,project-name,repo,github_org,github_repo,gh_repo_visibility
BBSMIG,bbs-migration-demo,my.portfolio.react.app,bbs2gh-migration,my.portfolio.react.app-03-aug,private
BBSMIG,bbs-migration-demo,calotracker,bbs2gh-migration,calotracker-03-aug,private
BBSMIG,bbs-migration-demo,test-repo,bbs2gh-migration,test-repo-03-aug,private
BBSMIG,bbs-migration-demo,test-jun,bbs2gh-migration,test-jun-03-aug,private
BBSMIG,bbs-migration-demo,solid-api,bbs2gh-migration,solid-api-03-aug,private
BBSMIG,bbs-migration-demo,test-feb9,bbs2gh-migration,test-feb9-03-aug,private
BBSMIG,bbs-migration-demo,Test21,bbs2gh-migration,Test21-03-aug,private
BBSMIG,bbs-migration-demo,voting_app,bbs2gh-migration,voting_app-03-aug,private
BBSMIG,bbs-migration-demo,lab8,bbs2gh-migration,lab8-03-aug,private
BBSMIG,bbs-migration-demo,MavenHelloWorld,bbs2gh-migration,MavenHelloWorld-03-aug,private
BBSMIG,bbs-migration-demo,solar-system,bbs2gh-migration,solar-system-03-aug,private
